id;tense;source/target;is correct target?;is correct translation?;w1;w2;w3;pos1;pos2;pos3;lemma1;lemma2;lemma3;comments;full fragment;source words;source fragment
16435;pretérito perfecto compuesto;target;yes;yes;Hemos;cerrado;;VHfin;VLadj;;haber;cerrar;;;Hemos cerrado todas las fugas ,;have been stopped;All the leaks have been stopped .
16436;pretérito perfecto compuesto;target;yes;yes;ha;vuelto;;VHfin;VLadj;;haber;volver;;;Cálmese , Se ha vuelto loco ?;Have gone;Have you gone crazy ?
16437;pretérito perfecto compuesto;target;yes;yes;ha;atascado;;VHfin;VLadj;;haber;atascar;;;El nivel de proa se ha atascado en la inmersión ,;has jammed;The bow plane has jammed on dive .
16438;pretérito perfecto compuesto;target;yes;yes;han;producido;;VHfin;VLadj;;haber;producir;;;Desde el comienzo de los disturbios en el sur se han producido brotes de violencia en otras regiones .;have been;Since the start of riots in the South there have been outbreaks of violence in other regions .
16439;pretérito imperfecto;target;yes;yes;tenías;;;VLfin;;;tener;;;;Sólo tenías carné de conducir por mes .;'ve had;You 've only had your driving license for a month .
16440;presente;target;yes;yes;Soy;;;VSfin;;;ser;;;;Soy vuestra soberana .;have been placed;I have been placed here ...
16441;presente;target;yes;yes;Estas;llamando;;DM;VLger;;este;llamar;;;""" Estas llamando a la agencia de desempleo de París """;have reached;""" You have reached the Paris unemployment agency . """
16442;pretérito perfecto compuesto;target;yes;yes;ha;sido;suspendido;VHfin;VSadj;VLadj;haber;ser;suspender;;Debido a la mora sobre el estado de su cuenta su servicio telefónico ha sido suspendido .;has been suspended;Due to the delinquent status on your account your phone service has been suspended .
16443;presente;target;yes;yes;queda;;;VLfin;;;quedar;;;;Podría servirnos , Usaremos todo el aire a alta presión que nos queda ,;have left;We 'll use all the high-pressure air we have left .
16444;pretérito perfecto compuesto;target;yes;yes;Has;comprobado;;VHfin;VLadj;;haber;comprobar;;;- Has comprobado nuestra marcación ?;Have checked;- Have you checked on our position ?
16445;pretérito indefinido;target;yes;yes;Tuvieron;;;VLfin;;;tener;;;;Tuvieron seis horas para hacerlo ,;'ve had;They 've had six hours .
16447;pretérito perfecto compuesto;target;yes;yes;he;oído;;VHfin;VLadj;;haber;oír;;;Es la música más bella que jamás he oído ,;'ve heard;I 've never heard such sweet music in all my life .
16448;pretérito perfecto compuesto;target;yes;yes;he;visto;;VHfin;VLadj;;haber;ver;;;Nunca la he visto .;'ve seen;I 've never seen her .
16449;presente;target;yes;yes;reís;;;VLfin;;;reís;;;;¿ Cuanto tiempo hace que os reís de mí ?;have been;How long have you been laughing at me ?
16450;pretérito indefinido;target;yes;yes;libramos;;;VLfin;;;librar;;;;Aún no nos libramos de ellos , Supongo que no les gustará nada ,;haven thrown;We haven 't thrown them off yet .
16451;pretérito perfecto compuesto;target;yes;yes;has;decepcionado;;VHfin;VLadj;;haber;decepcionar;;;Me has decepcionado , Ofelia .;'ve disappointed;You 've disappointed me , Ofelia .
16452;presente;target;yes;yes;rodean;;;VLfin;;;rodear;;;;Las ataduras del Infierno me rodean , y los lazos de la muerte me tienen prisionera .;have encompassed;The cords of hell have encompassed me about and the snares of death have overtaken me !
16453;pretérito perfecto compuesto;target;yes;yes;ha;heredado;;VHfin;VLadj;;haber;heredar;;;Su Majestad debe saber que ha heredado el más peligroso y degenerado Estado .;has inherited;Your Majesty has inherited a most parlous and degenerate state .
16454;pretérito perfecto compuesto;target;yes;yes;Hemos;hecho;;VHfin;VLadj;;haber;hacer;;;Hemos hecho todo lo posible , Espero que sea de su agrado ,;'ve done;We 've done what we can for you .
16455;pretérito perfecto compuesto;target;yes;yes;habéis;divorciado;;VHfin;VLadj;;haber;divorciar;;;No creo que debierais aleccionarme en eso , mi Señor , pues ya os habéis divorciado dos veces .;have been divorced;I do not think you should lecture me on that , my Lord , since you yourself have been twice divorced .
16456;pretérito indefinido;target;yes;yes;Hicimos;;;VLfin;;;hacer;;;;- Hicimos lo que pudimos , señor ,;'ve done;- We 've done what we can , sir .
16457;pretérito perfecto compuesto;target;yes;yes;ha;habido;;VHfin;VHadj;;haber;haber;;;No ha habido mejor momento ni ocasión , para abatir el orgullo francés .;has been;I say there has never been a better time to abate the French pride .
16458;pretérito perfecto compuesto;target;yes;yes;Ha;oído;;VHfin;VLadj;;haber;oír;;;Ha oído grandes elogios a vuestra belleza .;has heard;He has heard a great deal of your beauty .
16459;pretérito perfecto compuesto;target;yes;yes;hemos;decidido;;VHfin;VLadj;;haber;decidir;;;"Pero para asegurarnos de que no se sientan frustrados hemos decidido que los muchachos les cuenten el resto de la historia ... ... así sabrán lo bonito que hubiera sido el final .
Bueno , muchachos .";have decided;But to ensure that you won 't leave the theater feeling frustrated we have decided that the boys will tell you the rest of the story ... ... so at least you know how good the ending ... ... would have been .
16460;pretérito perfecto compuesto;target;yes;yes;ha;traído;;VHfin;VLadj;;haber;traer;;;Es corresponsal de guerra , Incluso se ha traído una cámara ,;has brought;He has even brought his camera .
16461;presente;target;yes;yes;tenemos;;;VLfin;;;tener;;;;- ¿ Cuántos hombres tenemos aquí ?;have left;- How many men we have left ?
16462;futuro imperfecto;target;yes;yes;consumará;;;VLfin;;;consumar;;;;"Todo lo que necesita Norfolk es firmar este documento ,
y se consumará la traición .";have been committed;All Norfolk need do is sign this paper , and treason will have been committed .
16463;futuro imperfecto;target;yes;yes;habrá;;;VHfin;;;haber;;;;- Primero habrá que llegar !;'ve got;- We 've got to get there first !
16464;infinitivo compuesto;target;yes;yes;haber;pedido;;VHinf;VLadj;;haber;pedir;;;No podría haber pedido un hijo mejor .;have asked;I couldn 't have asked for a better son .
16466;presente;target;yes;yes;lleva;sucediendo;;VLfin;VLger;;llevar;suceder;;;¿ Cuánto tiempo lleva sucediendo ?;has been;How long has it been going on ?
16467;pretérito indefinido;target;yes;yes;Fue;disparada;;VSfin;VLadj;;ser;disparar;;;Fue disparada .;'s been fired;It 's been fired .
16468;pretérito perfecto compuesto;target;yes;yes;he;decidido;;VHfin;VLadj;;haber;decidir;;;- Ya lo he decidido ,;'ve made;- I 've already made the decision .
16469;pretérito perfecto compuesto;target;yes;yes;Habéis;derramado;;VHfin;VLadj;;haber;derramar;;;Habéis derramado vuestra propia sangre , en lugar de la de un inocente .;have spilled;You have spilled your own blood rather than that of an innocent .
16471;presente;target;yes;yes;Tenéis;;;VLfin;;;tener;;;;Despertad , Tenéis compañía ,;'ve got;Wake up , you 've got company .
