id;tense;source/target;is correct target?;is correct translation?;w1;w2;w3;w4;pos1;pos2;pos3;pos4;lemma1;lemma2;lemma3;lemma4;comments;full fragment;source words;source fragment
12882;vtt;target;yes;yes;hebben;gehad;;;verbprespl;verbpapa;;;hebben;hebben;;;;Ze hebben zes uur de tijd gehad .;'ve had;They 've had six hours .
12884;vtt;target;yes;yes;heeft;laten;zien;;verbpressg;verbinf;verbinf;;hebben;laten;zien;;;Onze Fuhrer heeft laten zien dat die Engelse bedplasser , die sigaren paffende klootzak van ' n Churchill - - zijn stinksigaren in zijn reet kan steken .;has been;Our great Fuhrer has been showing their English bed-wetter the cigar-chomping asshole Churchill ... ... where exactly to go and stick his stinking cigars .
12886;vtt;target;yes;yes;heb;gevaren;;;verbpressg;verbpapa;;;hebben;varen;;;;Ik heb op ' n driemaster gevaren .;'ve sailed;I 've sailed on a schooner .
12887;ott;target;yes;yes;hebben;;;;verbprespl;;;;hebben;;;;;We hebben de prachtigste torpedo ' s .;'ve got;We 've got plenty of fancy torpedoes .
12888;vtt;target;yes;yes;Hebben;gezien;;;verbprespl;verbpapa;;;hebben;zien;;;;Hebben ze toch onze periscoop gezien .;'ve spotted;They must 've spotted our periscope .
12890;ott;target;yes;yes;hebben;;;;verbprespl;;;;hebben;;;;;We hebben wel wat anders te doen .;'ve got;We 've got work to do !
12893;vtt;target;yes;yes;gehoord;;;;verbpapa;;;;horen;;;;;Niets gehoord van je vrouw ?;Have talked;Have you talked to your wife ?
12894;ott;target;yes;yes;zijn;;;;verbprespl;;;;zijn;;;;;- Dan zijn we ze kwijt .;have shaken;- I guess we have shaken them off .
12897;vtt;target;yes;yes;gescheurd;zijn;;;verbpapa;verbprespl;;;scheuren;zijn;;;;Ga kijken hoeveel er gescheurd zijn .;have cracked;See how many cells have cracked .
12900;vtt;target;yes;yes;heeft;gehad;;;verbpressg;verbpapa;;;hebben;hebben;;;;- De halve vloot heeft ' r gehad .;have tried;- Half the fleet have tried her .
12901;ott;target;yes;yes;moet;;;;verbpressg;;;;moeten;;;;;Juist hier moet je blij zijn met alles wat groeit .;'ve got;Anything that grows on this boat we 've got to be grateful for .
12902;ott;target;yes;yes;wachten;;;;verbprespl;;;;wachten;;;;;- We wachten al meer dan ' n uur .;'ve waited;- We 've waited over an hour now .
12906;ott;target;yes;yes;zijn;;;;verbprespl;;;;zijn;;;;;Na zes uur sluipvaart onder water lijkt het zeker dat de jagers ons kwijt zijn .;have lost;Satisfied the destroyers have lost us .
12907;ott;target;yes;yes;zien;;;;verbprespl;;;;zien;;;;;Ze zien ons niet .;haven spotted;They haven 't spotted us .
12908;ott;target;yes;yes;hebben;;;;verbprespl;;;;hebben;;;;;- We hebben ' n hele nieuwe schroef .;'ve got;- We 've got a brand new one .
12910;vtt;target;yes;yes;heeft;meegenomen;;;verbpressg;verbpapa;;;hebben;meenemen;;;;Hij heeft z ' n camera meegenomen .;has brought;He has even brought his camera .
12911;ott;target;yes;yes;hebben;;;;verbprespl;;;;hebben;;;;;We hebben al 14 dagen geen bestek , en met die zeegang en storm is ' t moeilijk rekenen .;'ve had;We 've not had a sun shot in 14 days .
12912;ott;target;yes;yes;zijn;;;;verbprespl;;;;zijn;;;;;- De flensbouten zijn kapot .;have sheared;- The plunge bolts have sheared .
12913;ott;target;yes;yes;heb;;;;verbpressg;;;;hebben;;;;;- Ik heb ' m .;'ve got;- I 've got him .
12914;ott;target;yes;yes;is;;;;verbpressg;;;;zijn;;;;;Het is nu al bijna 15 uur .;'s been;It 's been 15 hours .
12918;ott;target;yes;yes;varen;;;;verbprespl;;;;varen;;;;;Op de hele Atlantische Oceaan varen er misschien tien boten van ons .;'ve got;12 boats we 've got on the Atlantic , from Greenland to the Azores .
12919;ott;target;yes;yes;moeten;;;;verbprespl;;;;moeten;;;;;- We moeten wat gewicht kwijt .;'ve got;- We 've got to shed some weight .
12920;vtt;target;yes;yes;hebben;gedaan;;;verbprespl;verbpapa;;;hebben;doen;;;;Zoals u ziet , hebben we ons best gedaan .;'ve done;We 've done what we can for you .
12921;vtt;target;yes;yes;heb;genomen;;;verbpressg;verbpapa;;;hebben;nemen;;;;- Ik heb ' t besluit al genomen .;'ve made;- I 've already made the decision .
12922;vtt;target;yes;yes;heb;gehoord;;;verbpressg;verbpapa;;;hebben;horen;;;;De mooiste muziek die ik ooit heb gehoord .;'ve heard;I 've never heard such sweet music in all my life .
12923;ott;target;yes;yes;zijn;;;;verbinf;;;;zijn;;;;;De pakkingen zijn eraan .;have seized;The bearings have seized .
12924;ott;target;yes;yes;moet;;;;verbpressg;;;;moeten;;;;;Ik moet een vervanger vinden voor de meester .;'ve got;I 've got to find a replacement for the chief .
12925;vtt;target;yes;yes;heeft;ontdekt;;;verbpressg;verbpressg;;;hebben;ontdekken;;;;De U-32 heeft ' n konvooi ontdekt .;has spotted;U-32 has spotted a British convoy .
12928;vtt;target;yes;yes;zijn;gedicht;;;verbprespl;verbpapa;;;zijn;dichten;;;;Alle lekken zijn gedicht .;have been stopped;All the leaks have been stopped .
12929;vtt;target;yes;yes;hebben;gedaan;;;verbprespl;verbpapa;;;hebben;doen;;;;- We hebben ons best gedaan .;'ve done;- We 've done what we can , sir .
12930;vtt;target;yes;yes;zijn;gebroken;;;verbprespl;verbpapa;;;zijn;breken;;;;De schotten zijn gebroken .;'ve collapsed;They 've collapsed .
12931;ott;target;yes;yes;hebben;;;;verbprespl;;;;hebben;;;;;En dan alles erin wat we aan perslucht hebben .;have left;We 'll use all the high-pressure air we have left .
12933;vvt;target;yes;yes;hadden;verwacht;;;verbpastpl;verbpressg;;;hebben;verwachten;;;;Seewald , we hadden je al verwacht .;'ve been;Seewald , we 've been expecting you .
12936;ott;target;yes;yes;moet;;;;verbpressg;;;;moeten;;;;;Het water moet eruit .;'ve got;We 've got to get the water out .
12937;vtt;target;yes;yes;is;afgewezen;;;verbpressg;verbpapa;;;zijn;afwijzen;;;;Ons verzoek is afgewezen , meester .;has been denied;Our request has been denied , Chief .
13009;vtt;target;yes;yes;hebben;gestolen;;;verbprespl;verbpapa;;;hebben;stelen;;;;Wat hebben ze uit de goederenwagons gestolen ?;haben gestohlen;Was haben sie aus den Güterwagen gestohlen ?
13010;vtt;target;yes;yes;heeft;aangesteld;;;verbpressg;verbpapa;;;hebben;aanstellen;;;;God heeft mij aangesteld ...;hat eingesetzt;Gott hat mich eingesetzt .
13011;ovt;target;yes;yes;kwam;;;;verbpastsg;;;;komen;;;;;Gisteren kwam er een elf bij me .;hat besucht;Letzte Nacht hat mich eine Fee besucht .
13012;vtt;target;yes;yes;is;afgewezen;;;verbpressg;verbpapa;;;zijn;afwijzen;;;;Ons verzoek is afgewezen , meester .;ist abgelehnt;Unser Antrag ist abgelehnt worden .
13013;vtt;target;yes;yes;heeft;gefaald;;;verbpressg;verbpapa;;;hebben;falen;;;;U heeft gefaald .;bist gescheitert;Du bist gescheitert .
13014;vtt;target;yes;yes;is;gevallen;;;verbpressg;nounpl;;;zijn;geval;;;;"Eet of drink niks tijdens je verblijf .
en kom terug voor de laatste zandkorrel is gevallen .";gefallen ist;""" Iß oder trink nichts , während deines Aufenthaltes , und sei zurück , bevor das letzte Sandkorn gefallen ist . """
13015;vtt;target;yes;yes;hebt;vermoord;;;verbpressg;verbpressg;;;hebben;vermoorden;;;;Je hebt hem vermoord .;haben getötet;Sie haben ihn getötet , Sie haben ihn getötet !
13016;vtt;target;yes;yes;zijn;vertrokken;;;verbprespl;verbpapa;;;zijn;vertrekken;;;;Ze waren hier twintig minuten geleden , en zijn dan snel weer vertrokken .;sind aufgerochen;Sie sind in Eile aufgerochen .
13017;ovt;target;yes;yes;luisterde;;;;verbpastsg;;;;luisteren;;;;;Waarom luisterde je niet ?;haben gehört;Warum haben sie nicht auf mich gehört ?
13018;vtt;target;yes;yes;heeft;gehad;;;verbpressg;verbpapa;;;hebben;hebben;;;;- De halve vloot heeft ' r gehad .;hat gebumst;- Die halbe Flotte hat sie gebumst .
13019;vtt;target;yes;yes;zijn;benieuwd;;;verbprespl;verbpapa;;;zijn;benieuwen;;;;We zijn benieuwd naar uw nieuws .;sind gespannt;Wir sind auf lhre Nachrichten gespannt .
13020;vtt;target;yes;yes;is;geblokkeerd;;;verbpressg;verbpapa;;;zijn;blokkeren;;;;Het koelsysteem is geblokkeerd .;ist blockiert;Kühlsystem ist blockiert .
13022;vtt;target;yes;yes;is;gezakt;;;verbpressg;verbpapa;;;zijn;zakken;;;;Haar temperatuur is gezakt .;hat gesenkt;Ihr Fieber hat sich gesenkt .
13023;ovt;target;yes;yes;ontmoetten;;;;verbpastpl;;;;ontmoeten;;;;;Een jaar geleden ontmoetten we elkaar opnieuw .;haben wiedergetroffen;Vor etwa einem Jahr , haben der Capitán und ich uns wiedergetroffen .
13024;ovt;target;yes;yes;gaf;;;;verbpastsg;;;;geven;;;;;Je gaf liever je eigen bloed dan dat van een onschuldige .;hast verschüttet;Du hast lieber dein eigenes Blut verschüttet , als das eines Unschuldigen .
13025;vtt;target;yes;yes;heeft;uitgebreid;;;verbpressg;verbpapa;;;hebben;uitbreiden;;;;Maria van Guise heeft haar leger uitgebreid tot vierduizend man .;hat verstärkt;Maria von Guise hat ihre Truppen in Schottland um 4000 Mann verstärkt .
13026;vtt;target;yes;yes;heb;besloten;;;verbpressg;verbpapa;;;hebben;besluiten;;;;Ik heb besloten je nog een laatste kans te geven .;habe entschlossen;Ich habe mich entschlossen , dir eine letzte Chance zu geben .
13030;vtt;target;yes;yes;heb;gemaakt;;;verbpressg;verbpapa;;;hebben;maken;;;;Kijk eens wat ik voor jou heb gemaakt .;gemacht habe;Schau , was ich für Dich gemacht habe .
13031;vtt;target;yes;yes;hebben;gewonnen;;;verbprespl;verbpapa;;;hebben;winnen;;;;De oorlog is voorbij en wij hebben gewonnen .;haben gewonnen;der Krieg ist zuende , und wir haben gewonnen .
13032;vtt;target;yes;yes;is;besloten;;;verbpressg;verbpapa;;;zijn;besluiten;;;;Het is besloten .;Ist arrangiert;Ist schon alles arrangiert .
13033;vtt;target;yes;yes;is;hersteld;;;verbpressg;verbpapa;;;zijn;herstellen;;;;Als alle averij is hersteld .;beendet sind;Wenn Reparaturen beendet sind .
13034;ott;target;yes;yes;insmeren;;;;verbprespl;;;;insmeren;;;;;Lekker insmeren met vaseline , dan glijdt ie er zo weer in .;ist eingeschmiert;Er ist mit Vaseline eingeschmiert .
13035;ott;target;yes;yes;heb;;;;verbpressg;;;;hebben;;;;;Om daar voor te zorgen , heb ik wat gereedschap bij me .;habe mitgebracht;Aber um sicherzugehen , habe ich einige Werkzeuge mitgebracht .
13036;vtt;target;yes;yes;heeft;uitgevaardigd;;;verbpressg;verbpapa;;;hebben;uitvaardigen;;;;De Paus heeft de bul uitgevaardigd .;hat erlassen;Seine Heiligkeit hat das Edikt erlassen .
13037;vtt;target;yes;yes;gepleegd;heb;;;verbpapa;verbpressg;;;plegen;hebben;;;;Omdat ik geen misdaden gepleegd heb .;begangen habe;Weil ich , Eure Majestät , keine begangen habe .
13038;vtt;target;yes;yes;Heeft;verlaten;;;verbpressg;verbinf;;;hebben;verlaten;;;;Heeft Hij u verlaten ?;Hat verlassen;Hat er Euch verlassen ?
13040;vtt;target;yes;yes;heeft;verloren;;;verbpressg;verbpapa;;;hebben;verliezen;;;;Onze voetbalclub heeft verloren .;hat verloren;Unsere Mannschaft hat verloren .
13041;ott;target;yes;yes;is;;;;verbpressg;;;;zijn;;;;;Mijn echtgenoot is weg , ons kind is vergiftigd .;ist gegangen;Mein Gatte ist von mir gegangen , mein Kind haben sie vergiftet .
